case_id,topic,scenario,court_level,text,decision,is_synthetic
SYN_LAB_0001,labour_rights,wrongful_termination,District Court,"Synthetic Case: A tea garden supervisor with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. District Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Accepted.",Accepted,True
SYN_LAB_0002,labour_rights,unpaid_wages,High Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. High Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Rejected.,Rejected,True
SYN_LAB_0003,labour_rights,casual_labor_regularization,Supreme Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. Supreme Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Partial.,Partial,True
SYN_LAB_0004,labour_rights,workplace_injury_compensation,District Court,"Synthetic Case: A plantation laborer suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. District Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Accepted.",Accepted,True
SYN_LAB_0005,labour_rights,pf_gratuity_denial,High Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. High Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Rejected.,Rejected,True
SYN_LAB_0006,labour_rights,maternity_benefit_denial,Supreme Court,Synthetic Case: Contractual female brick kiln loader was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. Supreme Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Partial.,Partial,True
SYN_LAB_0007,labour_rights,minimum_wage_violation,District Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. District Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Accepted.",Accepted,True
SYN_LAB_0008,labour_rights,contract_vs_permanent_dispute,High Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. High Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Rejected.",Rejected,True
SYN_LAB_0009,labour_rights,migrant_bonded_labor_exploitation,Supreme Court,"Synthetic Case: Inter-state migrant laborers detained at a brick kiln due to alleged advance debt obligations filed for relief under the Bonded Labour System (Abolition) Act. Supreme Court directed immediate release, cancellation of alleged debts, and state rehabilitation assistance. Ruling: Partial.",Partial,True
SYN_LAB_0010,labour_rights,overtime_wage_denial,District Court,Synthetic Case: Factory workers required to work 12-hour daily shifts without overtime payment petitioned under factories welfare rules. District Court verified shift logbooks and ordered payment of double-rate statutory overtime wages. Ruling: Accepted.,Accepted,True
